VA_DATE,VOLCANO_NAME,VOLCANO_ID,OBS_DATE,OBS_LOWALT,OBS_HIGHALT,OBS_CONTOUR,FCST+6_DATE,FCST+6_LOWALT,FCST+6_HIGHALT,FCST+6_CONTOUR,FCST+12_DATE,FCST+12_LOWALT,FCST+12_HIGHALT,FCST+12_CONTOUR,FCST+18_DATE,FCST+18_LOWALT,FCST+18_HIGHALT,FCST+18_CONTOUR
201802211550,FUEGO,342090,201802211515,SFC,FL150,N1435W09053N1429W09052N1428W09053N1429W09059N1435W09053,201802212130,SFC,FL150,N1451W09129N1446W09120N1431W09125N1432W09136N1451W09129,201802220330,SFC,FL150,N1449W09131N1446W09120N1429W09125N1430W09134N1449W09131,201802220930,SFC,FL150,N1449W09132N1445W09120N1428W09124N1429W09135N1449W09132
201802211002,FUEGO,342090,201802210930,SFC,FL150,N1429W09110N1428W09053N1425W09053N1419W09107N1429W09110,201802211530,None,None,NO ASH,201802212130,None,None,NO ASH,201802220330,None,None,NO ASH
201802210516,FUEGO,342090,201802210445,SFC,FL210,N1441W09047N1437W09041N1428W09050N1429W09052N1441W09047,201802211100,None,None,NO ASH,201802211700,None,None,NO ASH,201802212300,None,None,NO ASH
201802201544,FUEGO,342090,201802201500,SFC,FL140,N1428W09052N1428W09022N1419W09022N1426W09052N1428W09052,201802202100,SFC,FL140,N1428W09052N1428W09022N1419W09022N1426W09052N1428W09052,201802210300,None,None,NO ASH,201802210900,None,None,NO ASH
201802201139,FUEGO,342090,201802201100,SFC,FL170,N1449W09007N1417W08932N1410W08936N1427W08953N1442W09017N1449W09007,201802201700,None,None,NO ASH,201802202300,SFC,FL150,N1443W09023N1422W09022N1426W09052N1429W09053N1443W09023,201802210500,None,None,NO ASH
201802200828,FUEGO,342090,201802200800,SFC,FL160,N1433W09037N1428W09035N1426W09046N1432W09047N1433W09037,201802201400,SFC,FL160,N1442W09022N1429W09018N1427W09052N1429W09052N1442W09022,201802202000,SFC,FL160,N1444W09023N1432W09020N1427W09052N1429W09052N1444W09023,201802210200,SFC,FL160,N1450W09026N1438W09023N1428W09052N1430W09052N1450W09026
201802191353,FUEGO,342090,201802191330,SFC,FL160,N1435W09009N1427W09010N1427W09052N1422W09102N1431W09106N1429W09053N1435W09009,201802191930,SFC,FL160,N1437W09007N1425W09008N1427W09052N1430W09052N1437W09007,201802200130,SFC,FL160,N1437W09007N1425W09008N1427W09052N1430W09052N1437W09007,201802200730,SFC,FL160,N1436W09031N1424W09031N1426W09053N1430W09053N1436W09031
201802190757,FUEGO,342090,201802190730,SFC,FL150,N1432W09120N1429W09052N1428W09052N1418W09117N1432W09120,201802191330,None,None,NO ASH,201802191930,SFC,FL150,N1429W09052N1427W09052N1410W09122N1426W09127N1429W09052,201802200130,SFC,FL150,N1429W09052N1428W09052N1409W09122N1426W09128N1429W09052
201802181626,FUEGO,342090,201802181617,SFC,FL160,N1431W09114N1429W09053N1427W09052N1413W09111N1431W09114,201802182230,SFC,FL160,N1429W09113N1429W09053N1428W09052N1411W09110N1429W09113,201802190430,SFC,FL160,N1429W09053N1428W09052N1410W09112N1427W09115N1429W09053,201802191030,SFC,FL160,N1429W09053N1428W09052N1410W09111N1428W09114N1429W09053
201802180959,FUEGO,342090,201802180930,SFC,FL160,N1443W09105N1433W09059N1430W09052N1428W09052N1426W09059N1438W09110N1443W09105,201802181530,SFC,FL160,N1449W09110N1430W09050N1424W09054N1432W09120N1449W09110,201802182130,SFC,FL160,N1449W09124N1432W09050N1422W09053N1427W09130N1449W09124,201802190330,SFC,FL160,N1435W09133N1434W09053N1423W09048N1407W09125N1435W09133
